ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,School_Density_Score,Public_Transport_Accessibility_Numeric,Parking_Space_Numeric,Infrastructure_Score,Growth_Multiplier,Future_Price_5Y,Investment_Score,Good_Investment
202495,Gujarat,Ahmedabad,Locality_373,Independent House,4,4587,34.3,0.01,2002,Furnished,20,6,23,6,7,Low,No,Yes,"Gym, Pool, Garden, Clubhouse, Playground",East,Builder,Under_Construction,3,3,1.0,40.74074074074074,1.0,50.39795303424002,1,0
228733,Rajasthan,Jaipur,Locality_481,Apartment,2,959,174.15,0.18,2011,Unfurnished,9,8,14,4,4,High,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",North,Owner,Under_Construction,2,9,1.0,55.55555555555555,1.0,255.8834845747201,3,1
12190,Karnataka,Mysore,Locality_122,Independent House,1,3142,329.4,0.1,2023,Furnished,1,10,2,3,10,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym",South,Broker,Ready_to_Move,2,9,1.0,74.07407407407408,1.02,487.5924674521023,3,1
195484,Tamil Nadu,Chennai,Locality_485,Independent House,5,2541,134.22,0.05,2009,Semi-furnished,10,29,16,3,6,Medium,Yes,Yes,"Gym, Clubhouse, Pool, Garden, Playground",South,Builder,Under_Construction,2,6,1.0,42.59259259259259,1.0,197.21321446809608,1,0
247742,Gujarat,Ahmedabad,Locality_388,Villa,1,1761,406.01,0.23,2021,Furnished,25,7,4,10,4,Medium,No,Yes,"Garden, Pool, Playground, Clubhouse, Gym",South,Builder,Under_Construction,5,6,1.0,61.11111111111111,1.0,596.5618924615682,2,0
105546,Assam,Silchar,Locality_456,Villa,5,1468,375.2,0.26,2019,Semi-furnished,3,27,6,8,5,Low,No,Yes,"Playground, Garden, Clubhouse, Pool",North,Broker,Under_Construction,4,3,1.0,40.74074074074074,1.0,551.2918944153602,1,0
96029,Telangana,Hyderabad,Locality_49,Independent House,4,4260,255.47,0.06,2017,Unfurnished,7,27,8,6,7,High,No,Yes,"Gym, Playground, Pool, Garden, Clubhouse",South,Broker,Ready_to_Move,3,9,1.0,74.07407407407408,1.02,378.1580074680891,4,1
125071,Punjab,Amritsar,Locality_18,Villa,1,2730,457.69,0.17,2007,Semi-furnished,25,7,18,4,1,Medium,No,No,"Clubhouse, Pool, Garden, Gym",North,Owner,Ready_to_Move,2,6,1.0,27.77777777777777,0.98,667.5300479576683,1,0
98919,Odisha,Cuttack,Locality_343,Villa,1,881,280.66,0.32,2011,Semi-furnished,19,28,14,1,6,Medium,No,Yes,"Garden, Clubhouse, Pool",West,Broker,Under_Construction,1,6,1.0,35.18518518518518,1.0,412.3816180346882,1,0
169445,Jharkhand,Ranchi,Locality_476,Independent House,3,538,35.28,0.07,1992,Unfurnished,29,22,33,2,8,Low,No,No,"Gym, Playground, Clubhouse, Pool, Garden",North,Builder,Under_Construction,1,3,1.0,29.629629629629623,0.98,51.45504619272115,2,0
173178,Punjab,Amritsar,Locality_352,Villa,5,1354,419.81,0.31,2009,Unfurnished,24,2,16,10,2,Medium,Yes,No,"Pool, Gym, Garden, Clubhouse, Playground",North,Builder,Ready_to_Move,5,6,1.0,53.70370370370371,1.0,616.8386199214083,2,0
53398,Punjab,Ludhiana,Locality_322,Independent House,3,4621,76.87,0.02,2009,Unfurnished,27,29,16,9,1,Low,No,Yes,"Pool, Garden, Gym, Clubhouse",South,Owner,Ready_to_Move,4,3,1.0,29.629629629629623,0.98,112.11307825494542,3,1
115559,Delhi,Dwarka,Locality_468,Independent House,1,3621,451.44,0.12,1991,Unfurnished,11,17,34,6,7,High,Yes,Yes,"Clubhouse, Garden, Gym, Playground",East,Owner,Under_Construction,3,9,1.0,74.07407407407408,1.02,668.2414799835369,1,0
116274,Assam,Guwahati,Locality_371,Villa,5,1249,311.86,0.25,2022,Semi-furnished,9,30,3,9,8,High,Yes,Yes,"Pool, Playground, Gym",South,Owner,Under_Construction,4,9,1.0,88.88888888888889,1.02,461.62898269463454,2,0
244750,Maharashtra,Nagpur,Locality_364,Villa,2,1718,396.16,0.23,2008,Furnished,4,21,17,10,5,High,No,Yes,"Clubhouse, Playground, Pool, Garden",East,Broker,Ready_to_Move,5,9,1.0,81.4814814814815,1.02,586.413575913251,3,1
129319,Punjab,Amritsar,Locality_101,Villa,3,1358,463.86,0.34,2014,Unfurnished,11,5,11,5,4,Medium,No,No,"Pool, Clubhouse, Garden, Playground, Gym",North,Owner,Ready_to_Move,2,6,1.0,42.59259259259259,1.0,681.5625217044483,3,1
27784,Rajasthan,Jodhpur,Locality_300,Independent House,5,1360,322.37,0.24,2002,Unfurnished,21,18,23,3,9,High,Yes,Yes,"Clubhouse, Playground, Pool, Gym",West,Builder,Ready_to_Move,2,9,1.0,70.37037037037037,1.02,477.1863501291263,2,0
227527,Uttarakhand,Haridwar,Locality_157,Apartment,1,4069,279.81,0.07,2016,Unfurnished,24,4,9,4,10,Low,Yes,Yes,"Garden, Gym",East,Builder,Ready_to_Move,2,3,1.0,44.44444444444444,1.0,411.13268916940814,3,1
145584,Rajasthan,Jaipur,Locality_175,Independent House,1,2290,314.43,0.14,2019,Furnished,25,24,6,5,5,Low,Yes,No,"Clubhouse, Pool, Gym, Garden",West,Broker,Ready_to_Move,2,3,1.0,29.62962962962964,0.98,458.5887237635292,2,0
135155,Maharashtra,Nagpur,Locality_459,Villa,4,2033,438.66,0.22,1995,Unfurnished,14,30,30,7,9,Low,Yes,Yes,"Clubhouse, Pool, Playground",South,Broker,Ready_to_Move,3,3,1.0,51.85185185185185,1.0,644.5354541690883,2,0
91551,Telangana,Hyderabad,Locality_87,Independent House,3,4961,68.17,0.01,1995,Furnished,7,16,30,6,8,Medium,Yes,Yes,"Gym, Clubhouse, Playground",North,Broker,Ready_to_Move,3,6,1.0,61.11111111111111,1.0,100.16409499545604,4,1
37731,Andhra Pradesh,Vishakhapatnam,Locality_496,Apartment,5,3738,378.96,0.1,2020,Semi-furnished,20,10,5,8,6,Medium,No,No,"Playground, Clubhouse, Gym, Pool",South,Builder,Ready_to_Move,4,6,1.0,61.11111111111111,1.0,556.8165679841281,3,1
219108,Chhattisgarh,Raipur,Locality_479,Apartment,2,1232,12.55,0.01,1990,Furnished,19,18,35,3,7,Low,Yes,No,"Clubhouse, Garden, Gym, Playground, Pool",West,Owner,Under_Construction,2,3,1.0,29.629629629629623,0.98,18.303878393385784,2,0
4570,Rajasthan,Jaipur,Locality_220,Independent House,3,4437,466.87,0.11,1995,Furnished,12,23,30,8,8,High,No,Yes,Garden,West,Builder,Under_Construction,4,9,1.0,85.18518518518518,1.02,691.081649299827,2,0
242609,Madhya Pradesh,Bhopal,Locality_88,Independent House,4,1607,110.27,0.07,2022,Unfurnished,27,5,3,2,2,Medium,Yes,Yes,"Pool, Garden, Gym, Playground",North,Builder,Under_Construction,1,6,1.0,24.07407407407408,0.98,160.82618887957372,2,0
243114,Jharkhand,Ranchi,Locality_373,Independent House,5,1381,284.05,0.21,1997,Furnished,9,20,28,3,9,Low,No,No,"Clubhouse, Playground",West,Owner,Under_Construction,2,3,1.0,37.03703703703704,1.0,417.3626402150402,0,0
108310,Uttarakhand,Dehradun,Locality_397,Apartment,5,1367,388.01,0.28,1993,Furnished,12,21,32,2,6,High,No,No,"Gym, Clubhouse, Pool, Playground, Garden",West,Builder,Under_Construction,1,9,1.0,55.55555555555556,1.0,570.1139870791682,1,0
177693,Andhra Pradesh,Vijayawada,Locality_410,Independent House,3,2853,61.32,0.02,1990,Furnished,7,2,35,6,1,High,Yes,Yes,Gym,South,Builder,Under_Construction,3,9,1.0,51.85185185185185,1.0,90.09919766937604,3,1
247698,Jharkhand,Jamshedpur,Locality_107,Independent House,2,2481,300.74,0.12,1997,Semi-furnished,13,24,28,9,5,Medium,Yes,Yes,"Garden, Playground, Pool, Gym, Clubhouse",West,Builder,Under_Construction,4,6,1.0,61.11111111111111,1.0,441.8857258168322,2,0
188290,Rajasthan,Jodhpur,Locality_64,Independent House,2,2792,15.63,0.01,2008,Semi-furnished,15,17,17,8,2,High,No,No,"Clubhouse, Playground, Pool",West,Broker,Under_Construction,4,9,1.0,62.96296296296296,1.0,22.96559784038401,3,1
190646,Karnataka,Mysore,Locality_333,Villa,4,2529,490.07,0.19,2016,Furnished,7,12,9,8,8,High,No,No,"Gym, Pool, Clubhouse",South,Builder,Under_Construction,4,9,1.0,85.18518518518518,1.02,725.4233167099325,2,0
42782,Telangana,Warangal,Locality_241,Independent House,5,3057,23.64,0.01,1991,Semi-furnished,16,1,34,9,1,High,No,No,"Pool, Garden",West,Owner,Ready_to_Move,4,9,1.0,62.96296296296296,1.0,34.734915735552015,3,1
148070,Uttar Pradesh,Lucknow,Locality_498,Independent House,2,3550,496.62,0.14,2019,Semi-furnished,30,9,6,2,10,Low,No,No,"Gym, Pool, Garden, Playground",South,Owner,Ready_to_Move,1,3,1.0,37.03703703703704,1.0,729.6977095004163,3,1
19222,Maharashtra,Pune,Locality_235,Apartment,4,2497,51.27,0.02,1991,Semi-furnished,19,14,34,8,9,High,Yes,Yes,"Clubhouse, Gym, Pool, Garden",East,Broker,Ready_to_Move,4,9,1.0,88.88888888888889,1.02,75.89212448776347,3,1
33328,Uttarakhand,Haridwar,Locality_25,Villa,2,1142,27.92,0.02,2001,Semi-furnished,3,19,24,1,8,High,Yes,No,"Playground, Pool, Garden",South,Builder,Under_Construction,1,9,1.0,59.25925925925925,1.0,41.023639904256015,3,1
153514,Telangana,Hyderabad,Locality_443,Independent House,2,1337,271.3,0.2,2018,Semi-furnished,21,28,7,9,10,High,No,Yes,"Clubhouse, Playground, Pool",East,Builder,Under_Construction,4,9,1.0,96.29629629629628,1.02,401.59027449834656,3,1
187333,Karnataka,Mysore,Locality_392,Apartment,2,2509,373.81,0.15,2004,Furnished,29,5,21,4,4,Medium,Yes,No,"Pool, Garden, Playground",East,Broker,Under_Construction,2,6,1.0,38.888888888888886,1.0,549.2495283886082,1,0
26587,Karnataka,Mangalore,Locality_78,Apartment,1,3771,249.97,0.07,2002,Unfurnished,18,17,23,4,9,Medium,Yes,No,Gym,South,Builder,Under_Construction,2,6,1.0,57.407407407407405,1.0,367.2879393576961,2,0
126836,Odisha,Cuttack,Locality_293,Apartment,1,2129,395.22,0.19,1998,Unfurnished,30,13,27,4,8,Low,No,Yes,Pool,North,Broker,Under_Construction,2,3,1.0,37.03703703703703,1.0,580.7078425128963,0,0
108678,Andhra Pradesh,Vijayawada,Locality_151,Apartment,5,657,243.92,0.37,2006,Semi-furnished,9,24,19,8,7,Low,Yes,No,"Clubhouse, Playground, Pool",South,Builder,Ready_to_Move,4,3,1.0,48.14814814814814,1.0,358.3985044930561,1,0
103148,Maharashtra,Pune,Locality_479,Villa,2,3579,208.16,0.06,2008,Furnished,17,23,17,5,3,Low,Yes,Yes,"Garden, Clubhouse, Pool",North,Builder,Ready_to_Move,2,3,1.0,22.222222222222225,0.98,303.5964403479828,3,1
101240,Odisha,Bhubaneswar,Locality_141,Villa,3,1084,489.24,0.45,2006,Unfurnished,9,12,19,9,2,Low,No,No,"Gym, Clubhouse, Playground, Pool, Garden",North,Broker,Ready_to_Move,4,3,1.0,33.33333333333333,1.0,718.8540682936323,2,0
8448,Uttar Pradesh,Lucknow,Locality_471,Villa,2,4740,266.55,0.06,2006,Unfurnished,7,21,19,9,3,Medium,No,No,"Gym, Clubhouse",South,Builder,Ready_to_Move,4,6,1.0,53.70370370370371,1.0,391.64939887104015,4,1
20022,Delhi,New Delhi,Locality_192,Independent House,4,3215,33.57,0.01,1991,Semi-furnished,24,15,34,5,9,Low,No,No,Pool,North,Broker,Under_Construction,2,3,1.0,44.44444444444444,1.0,49.32534353817602,1,0
175209,West Bengal,Durgapur,Locality_129,Independent House,3,1678,318.38,0.19,2010,Unfurnished,3,13,15,1,10,Medium,No,Yes,"Clubhouse, Playground, Gym, Garden",East,Owner,Under_Construction,1,6,1.0,50.0,1.0,467.80467309158416,1,0
28059,Andhra Pradesh,Vishakhapatnam,Locality_209,Independent House,5,3167,143.69,0.05,2014,Semi-furnished,6,3,11,3,9,High,No,No,Playground,South,Builder,Ready_to_Move,2,9,1.0,70.37037037037037,1.02,212.6963012999168,4,1
245256,Karnataka,Mysore,Locality_76,Apartment,4,4189,254.54,0.06,2000,Unfurnished,23,30,25,9,9,High,No,Yes,"Pool, Gym",East,Broker,Ready_to_Move,4,9,1.0,92.5925925925926,1.02,376.7813802831151,3,1
78477,Maharashtra,Pune,Locality_286,Independent House,1,2138,282.48,0.13,2001,Semi-furnished,27,14,24,5,3,High,Yes,No,Pool,East,Builder,Under_Construction,2,9,1.0,55.55555555555556,1.0,415.0557951344642,1,0
245149,Kerala,Trivandrum,Locality_165,Independent House,2,1756,93.8,0.05,2010,Furnished,15,25,15,8,6,Low,No,No,"Pool, Gym",East,Builder,Under_Construction,4,3,1.0,44.44444444444444,1.0,137.82297360384004,2,0
154694,Tamil Nadu,Coimbatore,Locality_264,Villa,4,2960,222.77,0.08,1995,Semi-furnished,5,15,30,4,3,High,No,No,"Garden, Pool, Gym, Playground",North,Builder,Under_Construction,2,9,1.0,51.85185185185185,1.0,327.32221566873613,2,0
210159,Uttarakhand,Haridwar,Locality_60,Villa,1,2449,394.46,0.16,2004,Furnished,5,22,21,6,10,Medium,Yes,No,"Pool, Garden, Playground",West,Owner,Ready_to_Move,3,6,1.0,68.5185185185185,1.0,579.5911531745281,2,0
30779,Uttarakhand,Haridwar,Locality_31,Villa,3,3354,193.02,0.06,2019,Furnished,18,19,6,5,1,Low,Yes,No,"Gym, Pool, Playground",East,Builder,Under_Construction,2,3,1.0,14.814814814814817,0.98,281.5151081666393,3,1
207964,Madhya Pradesh,Bhopal,Locality_184,Villa,3,4399,181.6,0.04,2019,Semi-furnished,16,13,6,6,8,High,No,Yes,"Playground, Gym, Garden, Clubhouse",East,Builder,Ready_to_Move,3,9,1.0,77.77777777777777,1.02,268.81236214117115,5,1
157823,Jharkhand,Jamshedpur,Locality_324,Apartment,5,1226,258.31,0.21,1990,Furnished,20,18,35,5,1,Medium,No,No,Playground,West,Broker,Under_Construction,2,6,1.0,31.48148148148148,1.0,379.54213551820817,0,0
119301,Maharashtra,Pune,Locality_75,Independent House,4,2009,307.79,0.15,2002,Unfurnished,20,5,23,9,7,Medium,Yes,No,"Playground, Pool",West,Broker,Under_Construction,4,6,1.0,68.5185185185185,1.0,452.2444887582722,1,0
212819,Jharkhand,Jamshedpur,Locality_420,Independent House,3,2392,461.48,0.19,2013,Semi-furnished,18,13,12,10,3,High,Yes,No,"Gym, Pool, Garden, Playground, Clubhouse",East,Broker,Under_Construction,5,9,1.0,74.07407407407408,1.02,683.103132604117,3,1
79272,Chhattisgarh,Bilaspur,Locality_149,Independent House,4,2250,192.93,0.09,2017,Semi-furnished,6,13,8,5,6,Medium,No,Yes,"Clubhouse, Pool, Gym, Garden, Playground",East,Broker,Ready_to_Move,2,6,1.0,50.0,1.0,283.47746585702413,3,1
82301,West Bengal,Kolkata,Locality_105,Independent House,4,3310,351.42,0.11,1997,Furnished,22,4,28,4,9,High,Yes,No,"Clubhouse, Playground, Garden",West,Broker,Ready_to_Move,2,9,1.0,74.07407407407408,1.02,520.1874466060042,2,0
38359,West Bengal,Kolkata,Locality_225,Apartment,3,4958,69.64,0.01,2002,Unfurnished,7,29,23,10,5,High,Yes,No,Playground,West,Owner,Ready_to_Move,5,9,1.0,81.4814814814815,1.02,103.08421200171342,4,1
87253,Rajasthan,Jodhpur,Locality_243,Villa,3,2761,160.68,0.06,2001,Furnished,11,18,24,1,1,Medium,Yes,Yes,Garden,North,Broker,Under_Construction,1,6,1.0,16.666666666666664,0.98,234.34798248997828,2,0
245586,Karnataka,Mysore,Locality_290,Villa,3,4981,413.99,0.08,2014,Semi-furnished,11,1,11,8,4,Low,Yes,No,"Playground, Gym, Garden, Pool",South,Owner,Under_Construction,4,3,1.0,37.03703703703703,1.0,608.2871305144322,3,1
82215,Kerala,Trivandrum,Locality_82,Independent House,3,3567,359.69,0.1,2020,Furnished,14,19,5,7,10,Medium,Yes,No,"Garden, Pool, Clubhouse, Gym",North,Owner,Ready_to_Move,3,6,1.0,72.22222222222221,1.02,532.4290668422789,4,1
173232,Gujarat,Surat,Locality_68,Villa,4,3974,268.76,0.07,2020,Unfurnished,11,28,5,1,5,Low,Yes,Yes,Playground,East,Broker,Under_Construction,1,3,1.0,14.814814814814817,0.98,391.980108127997,2,0
21027,Chhattisgarh,Bilaspur,Locality_100,Apartment,2,1645,173.59,0.11,2019,Semi-furnished,12,4,6,2,4,High,Yes,Yes,"Clubhouse, Garden, Gym, Pool",South,Broker,Ready_to_Move,1,9,1.0,48.14814814814815,1.0,255.0606608517121,3,1
97238,Assam,Guwahati,Locality_39,Apartment,1,4087,213.73,0.05,2015,Furnished,6,16,10,8,1,Low,No,No,"Garden, Clubhouse, Gym, Pool, Playground",South,Owner,Under_Construction,4,3,1.0,25.925925925925924,0.98,311.7201537066409,2,0
140805,Jharkhand,Ranchi,Locality_293,Independent House,1,3030,318.46,0.11,2001,Unfurnished,9,14,24,9,8,Low,Yes,Yes,Pool,East,Builder,Under_Construction,4,3,1.0,55.55555555555555,1.0,467.92221933772817,1,0
178895,Madhya Pradesh,Indore,Locality_335,Villa,2,3531,453.7,0.13,1994,Semi-furnished,20,26,31,8,1,Medium,No,Yes,"Garden, Gym, Playground, Pool, Clubhouse",North,Broker,Ready_to_Move,4,6,1.0,42.59259259259259,1.0,666.6341484441602,2,0
95123,Madhya Pradesh,Bhopal,Locality_359,Independent House,1,4267,351.69,0.08,2008,Furnished,6,23,17,2,8,Low,No,Yes,Gym,East,Owner,Ready_to_Move,1,3,1.0,29.629629629629623,0.98,512.9315531609438,2,0
15425,Andhra Pradesh,Vijayawada,Locality_491,Villa,3,3480,166.85,0.05,2019,Unfurnished,29,20,6,4,5,Medium,Yes,Yes,"Garden, Clubhouse, Playground, Gym, Pool",South,Builder,Under_Construction,2,6,1.0,42.59259259259259,1.0,245.15738961408007,3,1
80140,Telangana,Warangal,Locality_142,Independent House,5,4689,248.09,0.05,2017,Furnished,10,10,8,8,3,Medium,Yes,No,"Clubhouse, Garden, Playground",South,Broker,Under_Construction,4,6,1.0,50.0,1.0,364.52560257331214,2,0
78672,Jharkhand,Ranchi,Locality_443,Independent House,2,2149,357.34,0.17,1998,Unfurnished,27,8,27,1,4,High,No,No,"Playground, Pool, Clubhouse, Garden",West,Owner,Under_Construction,1,9,1.0,44.44444444444444,1.0,525.0496949637121,1,0
184716,Delhi,Dwarka,Locality_5,Independent House,2,1848,289.46,0.16,1999,Unfurnished,24,16,26,3,7,High,Yes,No,"Clubhouse, Gym, Playground, Garden, Pool",East,Builder,Ready_to_Move,2,9,1.0,62.96296296296296,1.0,425.3117051105281,3,1
140360,Maharashtra,Mumbai,Locality_460,Independent House,3,3146,493.87,0.16,1995,Unfurnished,21,5,30,6,4,Medium,Yes,Yes,Garden,South,Owner,Under_Construction,3,6,1.0,46.2962962962963,1.0,725.6570572892163,1,0
64517,Bihar,Gaya,Locality_178,Villa,2,1220,14.58,0.01,2003,Semi-furnished,25,6,22,6,6,Low,No,No,"Clubhouse, Gym, Garden, Playground",South,Owner,Under_Construction,3,3,1.0,37.03703703703704,1.0,21.42280335974401,2,0
219462,Gujarat,Ahmedabad,Locality_420,Villa,5,2229,250.04,0.11,2019,Semi-furnished,28,27,6,2,6,Low,Yes,No,"Garden, Clubhouse",North,Broker,Under_Construction,1,3,1.0,22.222222222222225,0.98,364.67743055634907,1,0
